date,open,high,low,close,volume,Adj Close
2015-07-02,4287.734,4312.19,4000.061,4107.996,457062208.0,4107.996
2015-07-01,4408.984,4526.127,4235.696,4253.021,431721408.0,4253.021
2015-06-30,4161.067,4475.767,4016.013,4472.998,527045280.0,4472.998
2015-06-29,4446.842,4451.166,4000.926,4191.549,525662496.0,4191.549
2015-06-26,4573.872,4650.186,4278.675,4336.195,446639776.0,4336.195
2015-06-25,4906.242,4919.263,4667.224,4706.516,446135968.0,4706.516
2015-06-24,4811.595,4883.732,4744.306,4880.126,434638720.0,4880.126
2015-06-23,4641.425,4786.955,4455.33,4786.091,365087936.0,4786.091
2015-06-19,4847.057,4910.45,4634.691,4637.052,358104736.0,4637.052
2015-06-18,5107.695,5121.218,4926.429,4930.549,364395808.0,4930.549
2015-06-17,5072.306,5158.367,4949.293,5138.831,397124192.0,5138.831
2015-06-16,5165.025,5204.303,5015.265,5064.821,411675648.0,5064.821
2015-06-15,5354.014,5362.452,5207.308,5221.167,475745696.0,5221.167
